iso,id_centro,nombre_centro,geocoded_lat,geocoded_lon,geocode_source,geocode_precision,arcgis_score,geocode_query,geocode_distance_km,target_type,original_lat,original_lon,geocoded_in_adm1,geocoded_in_adm2,geo_adm1_check,geo_adm2_check,original_in_adm1,original_in_adm2,orig_adm1_check,orig_adm2_check,acceptance
COL,320250006226,COLEGIO NUESTRA SEÑORA DE FÁTIMA,9.62359,-73.58891,arcgis,street,98.46,"C LA LOMA, El Paso, Cesar, Colombia",18.491820117673168,compare,9.738958812,-73.71041539,Cesar,El Paso,MATCH,MATCH,Cesar,El Paso,MATCH,MATCH,KEEP_ORIGINAL
COL,323417003561,COLEGIO CENTRAL MILITAR ALMIRANTE COLON,8.753090698333,-75.881967739414,arcgis,uncertain,86.45,"CL 29 Y 30 08 78 BR CAMPO ALEGRE, Lorica, Córdoba, Colombia",,fill,,,Córdoba,Montería,MATCH,MISMATCH,,,NO_DATA,NO_DATA,REJECT
COL,323419001132,LICEO INFANTIL DIVINO NIÑO,9.587889557777,-74.825762979888,arcgis,centroid,90.08,"CL 10 4 64 BR ARRIBA, Los Córdobas, Córdoba, Colombia",179.62848821567306,compare,8.874873702,-76.2943627,Bolívar,Córdoba,MISMATCH,MISMATCH,Córdoba,Los Córdobas,MATCH,MATCH,REJECT
COL,323466000730,COLEGIO EL ROSARIO,7.96083567936,-75.419166580101,arcgis,uncertain,87.34,"KR 25 24 48 BR LOS LAURELES, Montelíbano, Córdoba, Colombia",2.751232167319763,compare,7.98528,-75.4153,Córdoba,Montelíbano,MATCH,MATCH,Córdoba,Montelíbano,MATCH,MATCH,FLAG
COL,323466003704,COLEGIO LUZ DIVINA,7.95972306011,-75.415574623363,arcgis,uncertain,88.59,"CL 11B 21 68 BR SAN CARLOS, Montelíbano, Córdoba, Colombia",2.841962962543811,compare,7.98528,-75.4153,Córdoba,Montelíbano,MATCH,MATCH,Córdoba,Montelíbano,MATCH,MATCH,FLAG
COL,325430001376,LICEO HACIENDA CASABLANCA,4.726689696313,-74.253118482065,arcgis,uncertain,85.63,"KR 2 ESTE 6 98 BR HACIENDA CASABLANCA, Madrid, Cundinamarca, Colombia",0.0,compare,4.726689696313,-74.253118482065,Cundinamarca,Madrid,MATCH,MATCH,Cundinamarca,Madrid,MATCH,MATCH,FLAG
COL,325754003860,LICEO CRISTIANO MANANTIAL DE VIDA,4.584417317335,-74.220307075521,arcgis,street,99.63,"CL 12A 9 104 BR EUGENIO DIAZ CASTRO, Soacha, Cundinamarca, Colombia",1.2447904695089054,compare,4.585833333,-74.20916667,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754003878,LICEO MODERNO AMERICAN SCHOOL,4.581148291277,-74.205597086905,arcgis,street,97.96,"KR 3 A ESTE 26 109 BR SAN MATEO, Soacha, Cundinamarca, Colombia",1.6792599112910478,compare,4.585833333,-74.22,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
COL,325754003886,INSTITUCIÓN EDUCATIVA LICEO SATÉLITE SAS,4.5797497,-74.2224651,arcgis,uncertain,86.71,"KR CIUDAD 6 BIS BR CIUDAD SATELITE CMN 2, Soacha, Cundinamarca, Colombia",0.38393717580150916,compare,4.580555556,-74.22583333,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,FLAG
COL,325754003924,COLEGIO SUPERIOR ANDINO,4.575498469442,-74.241361997203,arcgis,street,95.88,"KR 15 G 25 16 BR VILLA ESPERANZA, Soacha, Cundinamarca, Colombia",3.4128074449937698,compare,4.583611111,-74.21166667,Cundinamarca,Soacha,MATCH,MATCH,Cundinamarca,Soacha,MATCH,MATCH,KEEP_ORIGINAL
