iso,id_centro,gps_lat,gps_lon,geocoded_lat,geocoded_lon,distance_km,arcgis_score,extent_area,precision,query,address_returned
COL,205284001223,6.64503,-76.3461,6.685073148165,-76.335360362772,4.61,80.0,0.190096,street,"VDA QUIPARADO BAJO VDA COMUNIDAD, Frontino, Antioquia, Colombia","Frontino, Antioquia"
COL,244847800531,11.85337357,-72.08239744,11.715748,-72.2658724,25.16,80.0,0.000484,street,"COM JOJONCITO FINC MAREIGUAMANA, Uribia, La Guajira, Colombia","Uribia, La Guajira"
COL,117444000061,5.299614653,-75.05389729,5.299372140976,-75.053650065568,0.04,97.75,4e-06,street,"CL 4 4 07 BR LA ALDEA, Marquetalia, Caldas, Colombia","Calle 4 4 7, Marquetalia, Caldas"
COL,223068000725,8.382410803,-74.9919319,8.261301003983,-75.050324571683,14.92,88.97,0.25,street,"CAS COREA, Ayapel, Córdoba, Colombia","Ayapel, Córdoba"
COL,286757000377,0.283951433,-76.90147128,0.306293636014,-76.857117886489,5.52,88.57,0.076176,street,"VDA EL PRADO, San Miguel, Putumayo, Colombia","San Miguel, Putumayo"
COL,225867000170,4.89361,-74.54756,4.89999,-73.8125,81.44,93.65,0.000196,street,"VDA EL HATILLO, Vianí, Cundinamarca, Colombia","Vereda El Hatillo, Guatavita, Cundinamarca"
COL,268773000738,5.984448043,-74.0123616,5.98729,-74.00331,1.05,96.57,0.000196,street,"VDA EL PORVENIR, Sucre, Santander, Colombia","El Porvenir, Sucre, Santander"
COL,220001006673,10.52922,-73.31943,10.468258403547,-73.587855720255,30.12,90.0,0.145924,street,"VDA KARWA, Pueblo Bello, Cesar, Colombia","Pueblo Bello, Cesar"
COL,223586000208,9.236303034,-75.7561914,9.23657,-75.72191,3.76,90.2,0.001156,street,"C LOS CORRALES, Purísima de la Concepción, Córdoba, Colombia","Purísima de la Concepción, Purísima, Córdoba"
COL,241770000693,1.846276,-75.713786,1.75253,-76.05367,39.19,92.61,0.000196,street,"VDA DIVINO NIÑO, Suaza, Huila, Colombia","Vda. Divino Niño, Pitalito, Huila"
