iso,id_centro,gps_lat,gps_lon,geocoded_lat,geocoded_lon,distance_km,arcgis_score,query_precision,query,address_returned
BOL,71950011.0,-17.398599624634,-63.828704833984034,-17.1025784,-63.8508445,33.0,81.53,street,"CALLE BOLIVAR ESQUINA 6 DE AGOSTO, SEGUNDA SECCIÓN (SAN CARLOS), Santa Cruz, Bolivia","2 de Agosto, San Carlos"
BOL,81980009.0,-17.78820037841797,-63.198707580566406,-17.789013109689,-63.203097014372,0.47,91.67,street,"CALLE COMARAPA Y MATARAL, CAPITAL (SANTA CRUZ DE LA SIERRA), Santa Cruz, Bolivia","Calle Comarapa, Santa Cruz de la Sierra"
BOL,80730674.0,-16.463998262328,-68.114947366318,-16.476044258825,-68.146822159046,3.65,83.72,street,"CALLE E SECTOR 3 DE MAYO, CAPITAL (LA PAZ), La Paz, Bolivia","Calle E, La Paz"
BOL,60850013.0,-17.511699676513672,-65.85798645019531,-17.5232501,-65.8923049,3.86,80.0,street,"KM. 42 CARRETERA ANTIGUA COCHABAMBA SANTA CRUZ, TERCERA SECCIÓN (SAN BENITO), Cochabamba, Bolivia",San Benito
BOL,71370055.0,-20.127700805664,-66.16035461425798,-20.0656129,-66.532153,39.43,80.0,street,"CHIQUIRA, SEGUNDA SECCIÓN (TOMAVE), Potosi, Bolivia",Tomave
BOL,80550007.0,-17.02961109683551,-69.24139261245733,-17.0668143,-69.1932288,6.58,82.75,street,"CORHUARI, PRIMERA SECCIÓN (SANTIAGO DE MACHACA), La Paz, Bolivia",Santiago de Machaca
BOL,70420072.0,-20.039499282836918,-65.13365173339844,-20.1025037,-65.1340513,7.01,80.41,street,"QHIRQIWISI, SEGUNDA SECCIÓN (SAN LUCAS), Chuquisaca, Bolivia",San Lucas
BOL,81340079.0,-22.083400726318,-65.599327087402,-22.0833652,-65.5990655,0.03,80.0,street,"CALLE MODESTO OMISTE ENTRE CHICHAS Y 7 DE NOVIEMBRE, PRIMERA SECCIÓN (VILLAZÓN), Potosi, Bolivia",Villazón
BOL,41910016.0,-18.714099884033,-64.08085632324202,-18.7162482,-64.1842052,10.89,80.0,street,"CMD. LA TORRE, QUINTA SECCIÓN (PUCARA), Santa Cruz, Bolivia",Pucará
BOL,60730009.0,-16.645700454711914,-68.0501937866211,-16.6680808,-68.0179561,4.24,80.0,street,"LLACASA, SEGUNDA SECCIÓN (MECAPACA), La Paz, Bolivia",Mecapaca
BOL,70680052.0,-15.315999984741213,-68.3382568359375,-15.3096149,-68.214836,13.26,80.0,street,"COOPERATIVA ANDINA, SEPTIMA SECCIÓN (MAPIRI), La Paz, Bolivia",Mapiri
BOL,81680073.0,-21.528799057007,-64.171127319336,-21.5263973,-64.1748836,0.47,80.0,street,"CALLES CAMACHO Y PILCOMAYO, PRIMERA SECCIÓN (ENTRE RÍOS), Tarija, Bolivia",Entre Ríos
BOL,80660070.0,-17.066200256347656,-69.07781219482422,-16.9558939,-68.9687424,16.88,84.0,street,"LITORAL, QUINTA SECCIÓN (SAN ANDRÉS DE MACHACA), La Paz, Bolivia",San Andrés de Machaca
BOL,70870040.0,-17.70840072631836,-64.97876739501953,-17.5294586,-65.4818212,56.91,81.18,street,"PALCA, SEGUNDA SECCIÓN (POJO), Cochabamba, Bolivia","Palca, Vacas"
BOL,40730441.0,-16.50119972229004,-68.24564361572266,-16.478908066413,-68.230634460415,2.95,80.15,street,"AV. DANIEL SALAMANCA S/N, CUARTA SECCIÓN (EL ALTO), La Paz, Bolivia","Calle Daniel Salamanca, El Alto"
BOL,80590050.0,-12.393263060593188,-67.929649638733,-13.7677429,-68.1272612,154.33,80.0,street,"COMUNIDAD LOS ANGELES, PRIMERA SECCIÓN (IXIAMAS), La Paz, Bolivia",Ixiamas
BOL,81180007.0,-18.4862536068738,-66.86897277832033,-18.5987939,-66.9203461,13.64,80.0,street,"COLON, SEGUNDA SECCIÓN (PAZÑA), Oruro, Bolivia",Pazña
BOL,40730085.0,-16.555299758911,-68.207237243652,-16.477043233353,-68.209312897818,8.7,81.92,street,"AV. 2 DE AGOSTO 2171 Y ESTRUCTURANTE, CUARTA SECCIÓN (EL ALTO), La Paz, Bolivia","Avenida 2 de Agosto, El Alto"
BOL,81680096.0,-21.528926087601,-64.16921942194404,-21.5263973,-64.1748836,0.65,80.0,street,"URBANIZACION SAN LORENZO, PRIMERA SECCIÓN (ENTRE RÍOS), Tarija, Bolivia",Entre Ríos
BOL,60420002.0,-20.473142050186283,-64.75176525115978,-20.7803928,-64.8676549,36.23,81.22,street,"ANCOMARCA, TERCERA SECCIÓN (INCAHUASI), Chuquisaca, Bolivia",Incahuasi
BOL,81160016.0,-19.242799758911,-67.266273498535,-19.1953427,-67.0617961,22.11,80.83,street,"LUPIQUIPA, SEGUNDA SECCIÓN (PAMPA AULLAGAS), Oruro, Bolivia",Pampa Aullagas
SUR,G2002,5.8133333333333335,-55.27555555555556,5.770546874,-55.27786333,4.76,88.24,street,"LEIDING 08A, Koewarasan, WANICA, Suriname","Koewarasan, Wanica"
SUR,G9003,5.177777777777778,-55.06805555555556,5.188392934,-55.099254996,3.65,92.0,street,"NW LOMBE, Klaaskreek, BROKOPONDO, Suriname","Klaaskreek, Brokopondo"
SUR,M2005,5.751111111111111,-55.18861111111111,5.753473036808,-55.206773521009,2.03,97.54,street,"SITALWEG 1E ZIJSTR, Nieuwe Grond, WANICA, Suriname","Sitalweg 1, De Nieuwe Grond, Wanica"
SUR,G5012,5.7908333333333335,-55.477222222222224,5.788131493976,-55.479107171055,0.37,100.0,street,"MISGUNSTWEG 19, Groningen, SARAMACCA, Suriname","Misgunstweg 19, Groningen, Saramacca"
SUR,G0029,4.126666666666666,-54.651944444444446,3.372791602,-54.90648784,88.46,91.11,street,"MOOITAKI, Tapanahony, SIPALIWINI, Suriname","Tapanahony, Sipaliwini"
SUR,M1014,5.8175,-55.17972222222222,5.817287497025,-55.179187659203,0.06,97.43,street,"VERGEETMIJ NIETSTR, Flora, PARAMARIBO, Suriname","Vergeet-mij-nietstraat, Centrum, Paramaribo"
SUR,G8003,5.416111111111111,-55.50416666666667,5.261509569,-55.675599311,25.61,100.0,street,"BIGI POIKA, Bigi poika, PARA, Suriname","Bigi Poika, Para"
SUR,SGM,5.75,-55.38472222222222,5.599189816,-55.466960064,19.08,92.22,street,"Mahoweg, Kampong Baroe, SARAMACCA, Suriname","Kampong Baroe, Saramacca"
SUR,L7001,5.869166666666668,-56.32888888888889,5.878233373362,-56.331119260735,1.04,100.0,street,"GOUVERNEURSTR, Totness, CORONIE, Suriname","Gouverneurstraat, Totness, Coronie"
SUR,G1108,5.79,-55.19111111111111,5.791258321046,-55.190425624694,0.16,94.45,street,"PICARDIWEG 1, Pontbuiten, PARAMARIBO, Suriname","Picardieweg, Latour, Paramaribo"
SUR,AMTO-NICK,5.935833333333334,-56.99722222222222,5.936450561659,-56.998118843234,0.12,97.22,street,"Alupistraat 2, Nw. Nickerie, NICKERIE, Suriname","Aloepistraat 2, Nieuw Nickerie, Nickerie"
SUR,L1001,5.8325,-55.1425,5.832809148913,-55.142429966505,0.04,97.91,street,"MAURICIUSSTR 25-27, Centrum, PARAMARIBO, Suriname","Mauriciusstraat 25, Rainville, Paramaribo"
SUR,G1035,5.807777777777778,-55.17472222222222,5.808383967992,-55.175559924635,0.11,100.0,street,"GROENHARTSTR 25, Beekhuizen, PARAMARIBO, Suriname","Groenhartstraat 25, Beekhuizen, Paramaribo"
SUR,M1021,5.839166666666666,-55.16555555555556,5.838908714551,-55.164999846983,0.07,98.36,street,"OUDE CHARLESBURGWEG 14, Centrum, PARAMARIBO, Suriname","Oude Charlesburgweg 14, Rainville, Paramaribo"
SUR,M1032,5.841666666666667,-55.20472222222222,5.82675890935,-55.155492848306,5.69,96.52,street,"KERKLAAN, Centrum, PARAMARIBO, Suriname","Kerkplein, Centrum, Paramaribo"
SUR,G9008,5.014444444444444,-55.16611111111111,5.00435,-55.15333,1.81,92.5,street,"GANZEE, Bronsweg, BROKOPONDO, Suriname","Bronsweg, Brokopondo"
SUR,G6027,5.9375,-56.98694444444445,5.937652488328,-56.990092166265,0.35,98.9,street,"ACORNISTR 20, Nw. nickerie, NICKERIE, Suriname","Acornistraat 20, Nieuw Nickerie, Nickerie"
SUR,G1133,5.830277777777778,-55.157222222222224,5.830336714205,-55.157853024419,0.07,100.0,street,"HENCK ARRONSTRAAT, Centrum, PARAMARIBO, Suriname","Henck Arronstraat, Centrum, Paramaribo"
SUR,L3004,5.784166666666667,-55.01722222222222,5.774339331,-54.852965374,18.2,100.0,street,"TAMANREDJO, Tamanredjo, COMMEWIJNE, Suriname","Tamanredjo, Commewijne"
SUR,G2005,5.848888888888888,-55.276944444444446,5.849608395179,-55.266729274423,1.13,85.5,street,"GARNIZOENSPAD KM 14.5, Saramacca pld., WANICA, Suriname","Garnizoenspad 14, Kwatta, Wanica"
SUR,G3025,5.704444444444444,-55.06111111111111,5.70168,-55.07368,1.42,91.58,street,"LAARWIJK, Bakkie, COMMEWIJNE, Suriname","Laarwijk, Commewijne"
SUR,M2003,5.752222222222223,-55.21027777777778,5.752317381907,-55.210633135964,0.04,99.74,street,"INDIRA GANDHIWEG 182, Nieuwe Grond, WANICA, Suriname","Indira Gandhiweg 182, De Nieuwe Grond, Wanica"
SUR,G1007,5.8244444444444445,-55.181666666666665,5.822789288365,-55.18263897901,0.21,97.93,street,"ZINNIASTR, Flora, PARAMARIBO, Suriname","Zinniastraat, Centrum, Paramaribo"
SUR,SPI,5.814722222222222,-55.189722222222215,5.814894617828,-55.188823647808,0.1,99.53,street,"Mr.J. Lachmonstraat 63-65, Flora, PARAMARIBO, Suriname","Mr. J. Lachmonstraat 63, Flora, Paramaribo"
SUR,G1109,5.784722222222222,-55.19805555555556,5.784560535717,-55.198206865594,0.02,100.0,street,"NIEUWZORGWEG 52, Pontbuiten, PARAMARIBO, Suriname","Nieuwzorgweg 52, Pontbuiten, Paramaribo"
SUR,IMEAO-V,5.769444444444445,-55.24138888888889,5.775359010072,-55.217713996129,2.7,99.66,street,"Magentaweg, Nieuwe Grond, WANICA, Suriname","Magentaweg, De Nieuwe Grond, Wanica"
SUR,G3019,5.871944444444445,-55.04583333333333,5.88573,-55.08871,4.98,79.22,street,"JULIANAWEG, Nw. amsterdam, COMMEWIJNE, Suriname","Fort New Amsterdam, Commewijne"
SUR,G8022,5.389444444444445,-55.35916666666667,5.79739,-55.17695,49.64,84.33,street,"PIKIEN SARON, Zuid, PARA, Suriname","Saron Zuid, Paramaribo"
SUR,M1009,5.833888888888889,-55.17166666666667,5.834192213554,-55.172059341395,0.05,94.05,street,"VAN IDSINGATSR 17A, Centrum, PARAMARIBO, Suriname","Van Idsingastraat 17, Centrum, Paramaribo"
SUR,M6002,5.936388888888889,-56.990833333333335,5.936371544798,-56.990968957648,0.02,100.0,street,"AWINISTRAAT 1, Nw. nickerie, NICKERIE, Suriname","Awinistraat 1, Nieuw Nickerie, Nickerie"
SUR,G4001,5.616388888888888,-54.39361111111111,5.684940786,-54.530018623,16.91,86.29,street,"KARNAWISTR 09, Moengo, MAROWIJNE, Suriname","Moengo, Marowijne"
SUR,G5001,5.753055555555555,-55.41361111111111,5.753769420904,-55.414098806406,0.1,98.93,street,"SARAMACCAWEG 178 KAMPONG BAROE, Kampong baroe, SARAMACCA, Suriname","Saramaccaweg 178, Kampong Baroe, Saramacca"
SUR,G2038,5.675277777777778,-55.33916666666667,5.6613,-55.34014,1.56,88.78,street,"SANTIGRON, Houttuin, WANICA, Suriname","Santigron, Wanica"
